x,y,z,pressure,altitude,HR
-0.934448242,0.314208984,-0.223754883,970.3445083,363.5026164,69
-0.934448242,0.314208984,-0.223754883,970.3584491,363.3824117,69
-0.937866211,0.320068359,-0.225219727,970.3584491,363.3824117,69
-0.937866211,0.320068359,-0.225219727,970.3680888,363.299295,69
-0.943725586,0.319702148,-0.22277832,970.3680888,363.299295,69
-0.937988281,0.309082031,-0.223754883,970.3680888,363.299295,69
-0.937988281,0.309082031,-0.223754883,970.3790958,363.2043889,69
-0.93737793,0.29675293,-0.225219727,970.3790958,363.2043889,69
-0.93737793,0.29675293,-0.225219727,970.3858897,363.14581,69
-0.947631836,0.294189453,-0.221801758,970.3858897,363.14581,69
-0.951293945,0.299194336,-0.218017578,970.3858897,363.14581,69
-0.951293945,0.299194336,-0.218017578,970.3976255,363.0446213,69
-0.942626953,0.301635742,-0.219482422,970.3976255,363.0446213,69
-0.940673828,0.303710938,-0.227416992,970.3976255,363.0446213,69
-0.940673828,0.303710938,-0.227416992,970.4075315,362.959211,69
-0.93762207,0.308959961,-0.233154297,970.4075315,362.959211,69
-0.93762207,0.308959961,-0.233154297,970.4193341,362.857449,69
-0.936279297,0.310302734,-0.227539063,970.4193341,362.857449,69
-0.91784668,0.352539063,-0.177978516,970.4193341,362.857449,69
-0.91784668,0.352539063,-0.177978516,970.4297192,362.7679089,69
-0.91784668,0.352539063,-0.177978516,970.4297192,362.7679089,69
-0.899902344,0.371337891,-0.166381836,970.4297192,362.7679089,69
-0.899902344,0.371337891,-0.166381836,970.4392687,362.6855744,69
-0.915527344,0.334228516,-0.206787109,970.4392687,362.6855744,69
-0.92590332,0.32409668,-0.220458984,970.4392687,362.6855744,69
-0.92590332,0.32409668,-0.220458984,970.4441038,362.6438863,69
-0.932861328,0.320556641,-0.226806641,970.4441038,362.6438863,69
-0.932861328,0.320556641,-0.226806641,970.4608265,362.4997076,69
-0.943359375,0.3125,-0.230834961,970.4608265,362.4997076,69
-0.945068359,0.308837891,-0.231689453,970.4608265,362.4997076,69
-0.945068359,0.308837891,-0.231689453,970.4733431,362.3917941,69
-0.93762207,0.287353516,-0.264404297,970.4733431,362.3917941,69
-0.93762207,0.287353516,-0.264404297,970.4798209,362.3359452,69
-0.937255859,0.278320313,-0.276489258,970.4798209,362.3359452,69
-0.937133789,0.293945313,-0.247680664,970.4798209,362.3359452,69
-0.937133789,0.293945313,-0.247680664,970.4942354,362.2116709,69
-0.941162109,0.305419922,-0.237426758,970.4942354,362.2116709,69
-0.941040039,0.317993164,-0.233642578,970.4942354,362.2116709,69
-0.941040039,0.317993164,-0.233642578,970.5014468,362.1494982,69
-0.934692383,0.316650391,-0.228881836,970.5014468,362.1494982,69
-0.934692383,0.316650391,-0.228881836,970.5143597,362.0381709,69
-0.933837891,0.307617188,-0.230712891,970.5143597,362.0381709,69
-0.933837891,0.307617188,-0.230712891,970.5143597,362.0381709,69
-0.919921875,0.32434082,-0.189941406,970.5143597,362.0381709,69
-0.919921875,0.32434082,-0.189941406,970.5214085,361.9774014,69
-0.911254883,0.333129883,-0.171875,970.5214085,361.9774014,69
-0.911254883,0.333129883,-0.171875,970.5413116,361.8058129,69
-0.922851563,0.324707031,-0.204223633,970.5413116,361.8058129,69
-0.930419922,0.322875977,-0.216064453,970.5413116,361.8058129,69
-0.930419922,0.322875977,-0.216064453,970.5424448,361.7960434,69
-0.930786133,0.315673828,-0.224731445,970.5424448,361.7960434,69
-0.930786133,0.315673828,-0.224731445,970.5546362,361.6909405,69
-0.938232422,0.31237793,-0.22668457,970.5546362,361.6909405,69
-0.935424805,0.310791016,-0.229736328,970.5546362,361.6909405,69
-0.935424805,0.310791016,-0.229736328,970.5658363,361.5943855,69
-0.955078125,0.336181641,-0.23840332,970.5658363,361.5943855,69
-0.955078125,0.336181641,-0.23840332,970.5730055,361.5325798,69
-0.967285156,0.348022461,-0.239379883,970.5730055,361.5325798,69
-0.94909668,0.329589844,-0.235595703,970.5730055,361.5325798,69
-0.94909668,0.329589844,-0.235595703,970.5835264,361.4418809,69
-0.947753906,0.325073242,-0.238037109,970.5835264,361.4418809,69
-0.947753906,0.325073242,-0.238037109,970.5835264,361.4418809,69
-0.944091797,0.319946289,-0.234008789,970.5835264,361.4418809,69
-0.944091797,0.319946289,-0.234008789,970.5929282,361.3608305,69
-0.937133789,0.317504883,-0.224853516,970.5929282,361.3608305,69
-0.937133789,0.317504883,-0.224853516,970.5998829,361.3008755,69
-0.931762695,0.315307617,-0.224609375,970.5998829,361.3008755,69
-0.960571289,0.324707031,-0.268432617,970.5998829,361.3008755,69
-0.960571289,0.324707031,-0.268432617,970.6136777,361.1819557,69
-0.982421875,0.330200195,-0.286743164,970.6136777,361.1819557,69
-0.982421875,0.330200195,-0.286743164,970.6191037,361.1351801,69
-0.962280273,0.32019043,-0.256713867,970.6191037,361.1351801,69
-0.94140625,0.314697266,-0.222290039,970.6191037,361.1351801,69
-0.94140625,0.314697266,-0.222290039,970.6337677,361.0087695,69
-0.941040039,0.3046875,-0.222412109,970.6337677,361.0087695,69
-0.941040039,0.3046875,-0.222412109,970.6439439,360.9210461,69
-0.945068359,0.304077148,-0.224609375,970.6439439,360.9210461,69
-0.947998047,0.313232422,-0.224609375,970.6439439,360.9210461,69
-0.947998047,0.313232422,-0.224609375,970.6534168,360.8393868,69
-0.949462891,0.31652832,-0.223510742,970.6534168,360.8393868,69
-0.949462891,0.31652832,-0.223510742,970.6558259,360.8186199,69
-0.947998047,0.315917969,-0.223022461,970.6558259,360.8186199,69
-0.947998047,0.315917969,-0.223022461,970.6558259,360.8186199,69
-0.946289063,0.318847656,-0.223876953,970.6558259,360.8186199,69
-0.946289063,0.318847656,-0.223876953,970.6699637,360.6967482,69
-0.944458008,0.319091797,-0.224243164,970.6699637,360.6967482,69
-0.94152832,0.317138672,-0.222290039,970.6699637,360.6967482,69
-0.94152832,0.317138672,-0.222290039,970.6815207,360.5971249,69
-0.939086914,0.315063477,-0.220336914,970.6815207,360.5971249,69
-0.939086914,0.315063477,-0.220336914,970.6932625,360.4959099,69
-0.883666992,0.341308594,-0.184082031,970.6932625,360.4959099,69
-0.856811523,0.35559082,-0.16809082,970.6932625,360.4959099,69
-0.856811523,0.35559082,-0.16809082,970.7021108,360.4196378,69
-0.896362305,0.337280273,-0.197143555,970.7021108,360.4196378,69
-0.896362305,0.337280273,-0.197143555,970.7100793,360.3509499,69
-0.920166016,0.327636719,-0.211791992,970.7100793,360.3509499,69
-0.934326172,0.322143555,-0.217529297,970.7100793,360.3509499,69
-0.934326172,0.322143555,-0.217529297,970.7200028,360.2654105,69
-0.938842773,0.31640625,-0.221313477,970.7200028,360.2654105,69
-0.938842773,0.31640625,-0.221313477,970.7323449,360.1590242,69
-0.938842773,0.313720703,-0.223022461,970.7323449,360.1590242,69
-0.96496582,0.302124023,-0.219604492,970.7323449,360.1590242,69
-0.96496582,0.302124023,-0.219604492,970.7393474,360.0986649,69
-0.978149414,0.299804688,-0.222290039,970.7393474,360.0986649,69
-0.978149414,0.299804688,-0.222290039,970.747254,360.0305124,69
-0.978149414,0.299804688,-0.222290039,970.747254,360.0305124,68
-0.954101563,0.311279297,-0.233886719,970.747254,360.0305124,68
-0.947998047,0.315551758,-0.241455078,970.747254,360.0305124,68
-0.947998047,0.315551758,-0.241455078,970.7577928,359.9396724,68
-0.947387695,0.319580078,-0.240844727,970.7577928,359.9396724,68
-0.940795898,0.318359375,-0.23840332,970.7577928,359.9396724,68
-0.940795898,0.318359375,-0.23840332,970.7662901,359.86643,68
-0.946044922,0.320922852,-0.229980469,970.7662901,359.86643,68
-0.946044922,0.320922852,-0.229980469,970.7838765,359.7148448,68
-0.917236328,0.343994141,-0.186401367,970.7838765,359.7148448,68
-0.904785156,0.349609375,-0.169311523,970.7838765,359.7148448,68
-0.904785156,0.349609375,-0.169311523,970.7852454,359.7030458,68
-0.928222656,0.326171875,-0.196655273,970.7852454,359.7030458,68
-0.928222656,0.326171875,-0.196655273,970.7967313,359.6040455,68
-0.926635742,0.316162109,-0.214599609,970.7967313,359.6040455,68
-0.930053711,0.322021484,-0.224121094,970.7967313,359.6040455,68
-0.930053711,0.322021484,-0.224121094,970.8047436,359.5349851,68
-0.936889648,0.322631836,-0.225341797,970.8047436,359.5349851,68
-0.936889648,0.322631836,-0.225341797,970.820127,359.4023936,68
-0.940063477,0.320922852,-0.230102539,970.820127,359.4023936,68
-0.940063477,0.320922852,-0.230102539,970.820127,359.4023936,68
-0.899780273,0.382568359,-0.170898438,970.820127,359.4023936,68
-0.899780273,0.382568359,-0.170898438,970.8265674,359.3468831,68
-0.880004883,0.412353516,-0.133911133,970.8265674,359.3468831,68
-0.911376953,0.35949707,-0.174926758,970.8265674,359.3468831,68
-0.911376953,0.35949707,-0.174926758,970.8377571,359.2504386,68
-0.923950195,0.328735352,-0.198242188,970.8377571,359.2504386,68
-0.923950195,0.328735352,-0.198242188,970.8442888,359.1941424,68
-0.936157227,0.322631836,-0.206054688,970.8442888,359.1941424,68
-0.935546875,0.320800781,-0.209716797,970.8442888,359.1941424,68
-0.935546875,0.320800781,-0.209716797,970.8570247,359.0843728,68
-0.928955078,0.318969727,-0.213378906,970.8570247,359.0843728,68
-0.928955078,0.318969727,-0.213378906,970.8608895,359.0510625,68
-0.958251953,0.282592773,-0.221435547,970.8608895,359.0510625,68
-0.970825195,0.26159668,-0.23046875,970.8608895,359.0510625,68
-0.970825195,0.26159668,-0.23046875,970.8789649,358.8952751,68
-0.96105957,0.290283203,-0.23046875,970.8789649,358.8952751,68
-0.96105957,0.290283203,-0.23046875,970.8899513,358.8005876,68
-0.958618164,0.3046875,-0.234619141,970.8899513,358.8005876,68
-0.941894531,0.309326172,-0.238647461,970.8899513,358.8005876,68
-0.941894531,0.309326172,-0.238647461,970.8939327,358.7662738,68
-0.941894531,0.309326172,-0.238647461,970.8939327,358.7662738,68
-0.935058594,0.316772461,-0.231079102,970.8939327,358.7662738,68
-0.935058594,0.316772461,-0.231079102,970.9124114,358.6070146,68
-0.887084961,0.314331055,-0.203857422,970.9124114,358.6070146,68
-0.887084961,0.314331055,-0.203857422,970.9182953,358.5563043,68
-0.911621094,0.325317383,-0.221191406,970.9182953,358.5563043,68
-0.911621094,0.325317383,-0.221191406,970.9278392,358.4740519,68
-0.922973633,0.320068359,-0.23034668,970.9278392,358.4740519,68
-0.939819336,0.31652832,-0.231445313,970.9278392,358.4740519,68
-0.939819336,0.31652832,-0.231445313,970.9375049,358.3907495,68
-0.942504883,0.312744141,-0.230957031,970.9375049,358.3907495,68
-0.943725586,0.312011719,-0.228637695,970.9375049,358.3907495,68
-0.943725586,0.312011719,-0.228637695,970.9475628,358.3040682,68
-0.950561523,0.330566406,-0.238891602,970.9475628,358.3040682,68
-0.950561523,0.330566406,-0.238891602,970.9601987,358.1951705,68
-0.948486328,0.339111328,-0.245849609,970.9601987,358.1951705,68
-0.948486328,0.339111328,-0.245849609,970.9601987,358.1951705,68
-0.943359375,0.325317383,-0.23034668,970.9601987,358.1951705,68
-0.943359375,0.325317383,-0.23034668,970.9719669,358.0937515,68
-0.938354492,0.311889648,-0.232055664,970.9719669,358.0937515,68
-0.938354492,0.311889648,-0.232055664,970.9772215,358.0484677,68
-0.939697266,0.311645508,-0.235351563,970.9772215,358.0484677,68
-0.939697266,0.311645508,-0.235351563,970.9874601,357.9602315,68
-0.94140625,0.313598633,-0.2421875,970.9874601,357.9602315,68
-0.94140625,0.313598633,-0.2421875,970.9931761,357.9109718,68
-0.941040039,0.313598633,-0.244262695,970.9931761,357.9109718,68
-0.939819336,0.313476563,-0.236938477,970.9931761,357.9109718,68
-0.939819336,0.313476563,-0.236938477,971.0080213,357.7830386,68
-0.939331055,0.311401367,-0.235473633,971.0080213,357.7830386,68
-0.941162109,0.310424805,-0.241088867,971.0080213,357.7830386,68
-0.941162109,0.310424805,-0.241088867,971.0144594,357.7275569,68
-0.939941406,0.312011719,-0.239624023,971.0144594,357.7275569,68
-0.939941406,0.312011719,-0.239624023,971.0279246,357.6115179,68
-0.944335938,0.319335938,-0.228271484,971.0279246,357.6115179,68
-0.944335938,0.319335938,-0.228271484,971.032552,357.5716415,68
-0.942504883,0.317260742,-0.229370117,971.032552,357.5716415,68
-0.942504883,0.317260742,-0.229370117,971.0473847,357.4438199,68
-0.942626953,0.311035156,-0.236206055,971.0473847,357.4438199,68
-0.947998047,0.309204102,-0.233154297,971.0473847,357.4438199,68
-0.947998047,0.309204102,-0.233154297,971.0561243,357.3685067,68
-0.946289063,0.310424805,-0.229614258,971.0561243,357.3685067,68
-0.946289063,0.310424805,-0.229614258,971.06729,357.2722877,68
-0.947509766,0.315185547,-0.223754883,971.06729,357.2722877,68
-0.940917969,0.31628418,-0.220092773,971.06729,357.2722877,68
-0.940917969,0.31628418,-0.220092773,971.079163,357.1699747,68
-0.936645508,0.319946289,-0.22668457,971.079163,357.1699747,68
-0.936645508,0.319946289,-0.22668457,971.0862395,357.1089949,68
-0.946044922,0.320800781,-0.223388672,971.0862395,357.1089949,68
-0.946044922,0.320800781,-0.223388672,971.1031211,356.9635243,68
-0.942260742,0.317871094,-0.227172852,971.1031211,356.9635243,68
-0.942260742,0.317871094,-0.227172852,971.1074191,356.9264881,68
-0.937255859,0.315551758,-0.227783203,971.1074191,356.9264881,68
-0.936035156,0.311279297,-0.227172852,971.1074191,356.9264881,68
-0.936035156,0.311279297,-0.227172852,971.1231571,356.7908735,68
-0.935546875,0.316650391,-0.235107422,971.1231571,356.7908735,68
-0.935546875,0.316650391,-0.235107422,971.1231571,356.7908735,68
-0.936523438,0.317626953,-0.228393555,971.1231571,356.7908735,68
-0.936523438,0.317626953,-0.228393555,971.1444018,356.6078111,68
-0.93359375,0.319580078,-0.226318359,971.1444018,356.6078111,68
-0.938476563,0.324584961,-0.228515625,971.1444018,356.6078111,68
-0.938476563,0.324584961,-0.228515625,971.1523782,356.5390805,68
-0.934570313,0.321777344,-0.224365234,971.1523782,356.5390805,68
-0.934570313,0.321777344,-0.224365234,971.1634053,356.4440635,68
-0.938964844,0.318359375,-0.214111328,971.1634053,356.4440635,68
-0.941040039,0.316772461,-0.215454102,971.1634053,356.4440635,68
-0.941040039,0.316772461,-0.215454102,971.1749042,356.3449825,68
-0.937744141,0.314941406,-0.219238281,971.1749042,356.3449825,68
-0.937744141,0.314941406,-0.219238281,971.1786336,356.3128475,68
-0.94152832,0.315185547,-0.217895508,971.1786336,356.3128475,68
-0.944335938,0.312133789,-0.217285156,971.1786336,356.3128475,68
-0.944335938,0.312133789,-0.217285156,971.1884354,356.2283905,68
-0.944335938,0.312133789,-0.217285156,971.1884354,356.2283905,68
-0.946655273,0.313842773,-0.224365234,971.1884354,356.2283905,68
-0.946655273,0.314697266,-0.233886719,971.1884354,356.2283905,68
-0.946655273,0.314697266,-0.233886719,971.2032601,356.1006548,68
-0.945678711,0.318847656,-0.21875,971.2032601,356.1006548,68
-0.945678711,0.318847656,-0.21875,971.2107121,356.0364463,68
-0.942016602,0.314819336,-0.221923828,971.2107121,356.0364463,68
-0.944458008,0.3203125,-0.225341797,971.2107121,356.0364463,68
-0.944458008,0.3203125,-0.225341797,971.2244426,355.9181402,68
-0.935180664,0.338500977,-0.241577148,971.2244426,355.9181402,68
-0.935180664,0.338500977,-0.241577148,971.2352689,355.8248592,68
-0.928833008,0.347045898,-0.254394531,971.2352689,355.8248592,68
-0.938354492,0.333251953,-0.239501953,971.2352689,355.8248592,68
-0.938354492,0.333251953,-0.239501953,971.2381001,355.8004651,68
-0.938720703,0.321655273,-0.228393555,971.2381001,355.8004651,68
-0.938720703,0.321655273,-0.228393555,971.2482426,355.7130768,68
-0.937744141,0.3203125,-0.227416992,971.2482426,355.7130768,68
-0.938354492,0.320800781,-0.225830078,971.2482426,355.7130768,68
-0.938354492,0.320800781,-0.225830078,971.256373,355.6430249,68
-0.938354492,0.320800781,-0.225830078,971.256373,355.6430249,68
-0.940673828,0.321044922,-0.225219727,971.256373,355.6430249,68
